symbol,threshold,horizon,direction,n_events,win_rate,runs_p,runs_z,max_unfavorable_streak,mean_unfavorable_streak,streak_balance,is_clustered
SOL,0.2,100,bullish,590,0.35423728813559324,0.0,-12.60438059342099,19,5.7727272727272725,0.5569957601453664,True
SOL,0.2,100,bearish,404,0.33663366336633666,0.0,-9.085556450685798,20,5.36,0.5074626865671642,True
ETH,0.2,50,bullish,425,0.34823529411764703,0.0,-8.873613127206546,15,4.946428571428571,0.5440105021332459,True
ETH,0.2,100,bullish,425,0.30823529411764705,0.0,-9.711360753088295,33,6.0,0.4548611111111111,True
SOL,0.1,50,bullish,253,0.3359683794466403,0.0,-8.31768015833832,23,6.0,0.5246913580246914,True
BTC,0.2,100,bullish,606,0.367986798679868,0.0,-13.451311316676893,17,5.892307692307693,0.5913430156657963,True
BTC,0.2,100,bearish,609,0.35960591133004927,0.0,-13.781603405737991,33,6.190476190476191,0.5705955334987592,True
BTC,0.2,50,bullish,606,0.3481848184818482,0.0,-11.383112328046334,17,5.266666666666667,0.5413958262059528,True
BTC,0.2,50,bearish,609,0.35467980295566504,0.0,-11.32218641566668,31,5.171052631578948,0.5496183206106869,True
BTC,0.2,30,bullish,606,0.31353135313531355,0.0,-9.62283255159234,27,5.2,0.4567307692307692,True
BTC,0.2,20,bearish,609,0.3366174055829228,0.0,-8.445498821602097,39,4.488888888888889,0.5074257425742574,True
BTC,0.15,100,bullish,455,0.35384615384615387,0.0,-10.99045785754474,17,5.764705882352941,0.5476190476190476,True
BTC,0.15,100,bearish,455,0.3824175824175824,0.0,-11.618508897842016,25,5.62,0.6318541651536059,True
BTC,0.15,50,bullish,455,0.3362637362637363,0.0,-8.42428655831551,19,4.870967741935484,0.5066225165562914,True
BTC,0.15,50,bearish,455,0.367032967032967,0.0,-9.638919123666673,31,4.88135593220339,0.5898587164750958,True
SOL,0.15,50,bullish,420,0.3619047619047619,0.0,-9.308054211628248,26,4.962962962962963,0.5778653900309771,True
BTC,0.2,30,bearish,609,0.35139573070607555,0.0,-9.307958662015327,21,4.540229885057471,0.5417721518987342,True
SOL,0.2,50,bullish,590,0.3644067796610169,0.0,-12.748747404061767,28,5.681818181818182,0.5821538461538461,True
SOL,0.2,30,bullish,590,0.3389830508474576,0.0,-10.521063476431348,21,5.131578947368421,0.5196581196581196,True
SOL,0.2,20,bullish,590,0.3101694915254237,0.0,-9.870210925465436,33,5.355263157894737,0.4556265356265356,True
SOL,0.15,100,bullish,420,0.37142857142857144,0.0,-9.848348593383774,21,5.076923076923077,0.6024955436720143,True
BTC,0.2,20,bullish,606,0.3118811881188119,6.661338147750939e-16,-8.063691990044704,23,4.738636363636363,0.4532374100719425,True
SOL,0.2,50,bearish,404,0.3292079207920792,4.6629367034256575e-15,-7.8334823254461705,23,4.927272727272728,0.4907749077490774,True
ETH,0.15,100,bullish,309,0.313915857605178,5.10702591327572e-15,-7.8221064294201,25,5.578947368421052,0.46991330953595106,True
BTC,0.1,100,bearish,275,0.43636363636363634,7.771561172376096e-15,-7.771284488610763,17,4.1891891891891895,0.7956989247311828,True
SOL,0.15,30,bullish,420,0.34523809523809523,4.241051954068098e-14,-7.5532010364536175,31,4.508196721311475,0.536060606060606,True
SOL,0.1,20,bullish,253,0.3201581027667984,4.39648317751562e-14,-7.548875576685071,18,5.733333333333333,0.4871692060946271,True
BTC,0.15,30,bearish,455,0.33406593406593404,1.0635936575909e-13,-7.432623519019939,21,4.522388059701493,0.5092509250925092,True
SOL,0.1,100,bullish,253,0.3241106719367589,2.5779378631796135e-13,-7.314829967806846,16,5.516129032258065,0.4955165692007797,True
ETH,0.2,100,bearish,316,0.3829113924050633,2.5912605394751154e-13,-7.314133275196115,26,4.333333333333333,0.6346153846153847,True
BTC,0.1,100,bullish,267,0.36329588014981273,4.89608353859694e-13,-7.228150520831945,10,4.857142857142857,0.5705882352941177,True
BTC,0.15,30,bullish,455,0.3142857142857143,1.3162804179955856e-12,-7.092593306004906,18,4.7272727272727275,0.45833333333333326,True
ETH,0.15,50,bullish,309,0.3592233009708738,3.2962521601120898e-12,-6.964482030659653,17,4.5,0.5736434108527132,True
BTC,0.1,50,bearish,275,0.38545454545454544,4.405364961712621e-12,-6.923528728726182,18,4.333333333333333,0.6437246963562753,True
SOL,0.15,20,bullish,420,0.3238095238095238,4.828804023304656e-12,-6.910517674606904,27,4.580645161290323,0.48672362041099043,True
SOL,0.1,30,bullish,253,0.3359683794466403,3.5280223187328374e-11,-6.622655526796157,23,4.9411764705882355,0.5212842712842712,True
ETH,0.2,30,bullish,425,0.35294117647058826,3.942002280155066e-11,-6.60624133767725,15,4.104477611940299,0.5537190082644629,True
BTC,0.1,50,bullish,267,0.3445692883895131,1.0194023403187202e-10,-6.464045454208705,14,4.72972972972973,0.5257142857142857,True
BTC,0.1,30,bearish,275,0.36363636363636365,1.2455125819599289e-10,-6.4336795731481216,13,4.375,0.5860805860805861,True
BTC,0.15,20,bearish,455,0.31868131868131866,4.801499198237025e-10,-6.2254584325812194,38,4.366197183098592,0.47442396313364055,True
SOL,0.2,10,bullish,590,0.30847457627118646,7.489064923760225e-10,-6.155394908578847,18,4.294736842105263,0.45082394659991654,True
SOL,0.15,100,bearish,284,0.30633802816901406,9.604956829889488e-10,-6.1158401681257955,19,5.051282051282051,0.44162436548223355,True
BTC,0.15,20,bullish,455,0.31648351648351647,1.3536463061569748e-09,-6.060896841724292,17,4.380281690140845,0.4630225080385852,True
SOL,0.2,30,bearish,404,0.3193069306930693,1.6192613916388154e-09,-6.032016611663433,22,4.435483870967742,0.46909090909090906,True
BTC,0.1,20,bullish,267,0.3333333333333333,1.6705148375706358e-09,-6.026980166371575,13,4.684210526315789,0.5,True
SOL,0.05,50,bullish,114,0.34210526315789475,3.148509675199307e-09,-5.923661637227546,19,6.25,0.52,True
ETH,0.1,50,bullish,172,0.36046511627906974,4.676494080868565e-09,-5.858292866795215,17,4.782608695652174,0.5892561983471075,True
BTC,0.1,30,bullish,267,0.32209737827715357,5.100021738257965e-09,-5.843875279944475,12,4.7631578947368425,0.4751381215469613,True
SOL,0.1,10,bullish,253,0.3201581027667984,6.198294544290661e-09,-5.811317862445808,22,4.777777777777778,0.4843853820598007,True
BTC,0.1,20,bearish,275,0.33454545454545453,8.339057666617578e-09,-5.761457672799152,24,4.463414634146342,0.5153005464480873,True
ETH,0.2,20,bullish,425,0.3388235294117647,1.3208875770942541e-08,-5.683340700804242,14,4.014285714285714,0.519882407550673,True
SOL,0.05,20,bullish,114,0.32456140350877194,2.3775930113600907e-08,-5.582006638786809,18,5.923076923076923,0.5205627705627706,True
ETH,0.15,100,bearish,213,0.36619718309859156,4.8240310412950294e-08,-5.457677394537039,14,4.21875,0.5964157706093189,True
ETH,0.15,30,bullish,309,0.37216828478964403,6.124409046570634e-08,-5.415130298469992,16,3.803921568627451,0.6046391752577319,True
BTC,0.2,10,bearish,609,0.28735632183908044,6.99938709214365e-08,-5.391186791291295,15,4.428571428571429,0.4032258064516129,True
SOL,0.05,10,bullish,114,0.3508771929824561,8.33386222254262e-08,-5.3597469073664294,27,5.285714285714286,0.5821205821205822,True
ETH,0.1,30,bullish,172,0.37790697674418605,8.870706547092766e-08,-5.348457366715677,13,4.28,0.6327881619937694,True
SOL,0.15,50,bearish,284,0.2711267605633803,1.1196534077662079e-07,-5.306149172387918,20,5.3076923076923075,0.37198067632850246,True
SOL,0.2,20,bearish,404,0.3217821782178218,2.2669461041679995e-07,-5.175999049353072,17,4.151515151515151,0.4744525547445256,True
SOL,0.15,10,bullish,420,0.33095238095238094,3.86244113359524e-07,-5.075615270717457,30,3.9577464788732395,0.5017285205897306,True
SOL,0.05,100,bullish,114,0.2807017543859649,9.064643158307462e-07,-4.9109278670693834,19,6.3076923076923075,0.3902439024390244,True
BTC,0.05,100,bearish,127,0.3779527559055118,1.088356865741602e-06,-4.8749506009832215,24,4.388888888888889,0.6433358153387937,True
ETH,0.2,30,bearish,316,0.3322784810126582,1.20295310601648e-06,-4.855150558106913,20,4.0576923076923075,0.5073877892389183,True
ETH,0.2,50,bearish,316,0.3449367088607595,1.3005528372023178e-06,-4.8396694155239945,21,3.9056603773584904,0.5366963953920476,True
SOL,0.15,30,bearish,284,0.2992957746478873,1.3056719641024728e-06,-4.838888606923992,19,4.627906976744186,0.42713567839195976,True
ETH,0.15,30,bearish,213,0.30985915492957744,2.9174938240839055e-06,-4.676544450575491,20,4.59375,0.46346280447662935,True
ETH,0.15,50,bearish,213,0.3286384976525822,3.000261395547099e-06,-4.670801925482809,15,4.333333333333333,0.5048076923076923,True
SOL,0.2,10,bearish,404,0.30445544554455445,4.197452722953798e-06,-4.601357999193089,21,4.1940298507462686,0.4443545778065351,True
ETH,0.2,20,bearish,316,0.3291139240506329,5.7042829020304e-06,-4.5370638917156185,26,4.0,0.5,True
SOL,0.05,30,bullish,114,0.3684210526315789,8.16069959053145e-06,-4.460924087831952,17,4.5,0.5833333333333334,True
ETH,0.1,100,bullish,172,0.32558139534883723,8.579511163064879e-06,-4.450188100244331,15,4.461538461538462,0.5020689655172415,True
BTC,0.2,10,bullish,606,0.3069306930693069,1.8322432732587046e-05,-4.284410522793636,13,3.925233644859813,0.44285714285714284,True
SOL,0.15,20,bearish,284,0.2992957746478873,1.940710483716579e-05,-4.271605071581819,18,4.4222222222222225,0.42713567839195976,True
ETH,0.15,20,bullish,309,0.3592233009708738,2.228106293511445e-05,-4.240713255810711,13,3.6,0.5709876543209876,True
BTC,0.05,100,bullish,127,0.33858267716535434,7.54514875906942e-05,-3.958406433031705,12,4.421052631578948,0.5119047619047619,True
BTC,0.05,50,bearish,127,0.3700787401574803,0.00011132284885428945,-3.864487152613216,13,4.0,0.5875,True
BTC,0.15,10,bullish,455,0.3142857142857143,0.0001308601156311262,-3.8248342137253317,18,3.8518518518518516,0.45833333333333337,True
BTC,0.05,30,bullish,127,0.31496062992125984,0.00023301946890486036,-3.680234605705072,18,4.578947368421052,0.45977011494252873,True
SOL,0.1,50,bearish,156,0.20512820512820512,0.00023701614781690417,-3.6758959175846044,23,6.526315789473684,0.2724014336917563,True
SOL,0.1,30,bearish,156,0.20512820512820512,0.00023701614781690417,-3.6758959175846044,29,6.526315789473684,0.2724014336917563,True
BTC,0.05,20,bullish,127,0.30708661417322836,0.00035193709333047885,-3.573726085237309,17,4.631578947368421,0.4431818181818182,True
ETH,0.1,20,bullish,172,0.37209302325581395,0.00046680041148094986,-3.499117735654444,12,3.6,0.5925925925925926,True
ETH,0.15,20,bearish,213,0.3145539906103286,0.000496418333734594,-3.4826816357158843,23,4.055555555555555,0.47201565557729946,True
ETH,0.2,10,bearish,316,0.31645569620253167,0.0005009796022268365,-3.480232084109297,17,3.857142857142857,0.47138047138047134,True
BTC,0.05,50,bullish,127,0.3543307086614173,0.000856246543122996,-3.333941531903302,17,3.9047619047619047,0.5487804878048781,True
BTC,0.15,10,bearish,455,0.27692307692307694,0.0009381579313985089,-3.3084444533219113,16,4.217948717948718,0.38795247305885605,True
ETH,0.1,100,bearish,116,0.33620689655172414,0.0009685312231104692,-3.2995118966369414,11,4.052631578947368,0.5346320346320347,True
SOL,0.1,100,bearish,156,0.27564102564102566,0.0010268747254000843,-3.2830581740069187,10,4.708333333333333,0.39707579838399387,True
BTC,0.1,10,bullish,267,0.2883895131086142,0.0020832454053754113,-3.0781006500508727,15,4.222222222222222,0.4052631578947368,True
SOL,0.15,10,bearish,284,0.28169014084507044,0.002091348949988525,-3.0769435599416273,20,4.25,0.4005006257822278,True
SOL,0.05,50,bearish,70,0.14285714285714285,0.002159667288392564,-3.067348744206317,21,10.0,0.16666666666666669,True
SOL,0.1,10,bearish,156,0.23717948717948717,0.002764542817078608,-2.9927741131199697,30,5.409090909090909,0.31092436974789917,True
ETH,0.15,10,bullish,309,0.30097087378640774,0.0028482176225250733,-2.983661411191166,17,3.9272727272727272,0.43852880658436216,True
ETH,0.1,50,bearish,116,0.3620689655172414,0.0032123442724767415,-2.9466520667412586,15,3.7,0.5675675675675675,True
BTC,0.05,30,bearish,127,0.3779527559055118,0.005275079129654525,-2.7897374994603923,12,3.4347826086956523,0.6075949367088607,True
ETH,0.1,10,bullish,172,0.31976744186046513,0.00536293817844391,-2.7843847164427333,14,3.9,0.4700854700854701,True
ETH,0.05,100,bearish,41,0.36585365853658536,0.006131449336761907,-2.7406676470001385,10,4.333333333333333,0.576923076923077,True
ETH,0.05,30,bullish,71,0.38028169014084506,0.00790003908089787,-2.656312406923487,10,3.6666666666666665,0.6136363636363636,True
ETH,0.1,30,bearish,116,0.27586206896551724,0.007957064097662947,-2.6538862684238693,15,4.666666666666667,0.38095238095238093,True
ETH,0.2,10,bullish,425,0.2988235294117647,0.010401018060995915,-2.562204081902533,16,3.7721518987341773,0.43163827224229906,True
SOL,0.05,100,bearish,70,0.2857142857142857,0.011187847113683036,-2.5367761352988487,17,4.545454545454546,0.43999999999999995,True
ETH,0.05,10,bearish,41,0.3170731707317073,0.013240786767046764,-2.477226439180314,13,4.666666666666667,0.46428571428571425,True
BTC,0.05,20,bearish,127,0.3464566929133858,0.01375775593680717,-2.4635269315187776,14,3.608695652173913,0.5301204819277109,True
ETH,0.05,100,bullish,71,0.39436619718309857,0.02558069146713593,-2.2325188399607008,8,3.3076923076923075,0.6511627906976745,True
ETH,0.05,20,bullish,71,0.39436619718309857,0.02558069146713593,-2.2325188399607008,9,3.3076923076923075,0.6511627906976745,True
ETH,0.15,10,bearish,213,0.3004694835680751,0.026818918571376305,-2.2141433617295205,15,3.8205128205128207,0.4408336276933945,True
ETH,0.05,50,bullish,71,0.38028169014084506,0.03166249594819548,-2.148645701966374,13,3.3846153846153846,0.6136363636363636,True
ETH,0.05,30,bearish,41,0.36585365853658536,0.0396301501970997,-2.057583309449952,10,3.7142857142857144,0.5769230769230769,True
ETH,0.05,20,bearish,41,0.36585365853658536,0.0396301501970997,-2.057583309449952,10,3.7142857142857144,0.5769230769230769,True
SOL,0.1,20,bearish,156,0.22435897435897437,0.054884606455990914,-1.919788607640784,29,5.041666666666667,0.3018325547969817,False
BTC,0.1,10,bearish,275,0.2690909090909091,0.06125800420614702,-1.8716285971192201,13,4.1020408163265305,0.3758291873963516,False
BTC,0.05,10,bullish,127,0.2755905511811024,0.08480112214295965,-1.723483523933139,19,4.181818181818182,0.3804347826086956,False
ETH,0.05,50,bearish,41,0.4634146341463415,0.16258830996716833,-1.396419155707688,10,2.75,0.7676767676767677,False
ETH,0.1,20,bearish,116,0.3017241379310345,0.19247806306905235,-1.3032832920308413,15,3.6818181818181817,0.43209876543209874,False
SOL,0.05,10,bearish,70,0.22857142857142856,0.20546464433500433,-1.2661353058763074,12,4.909090909090909,0.2962962962962963,False
BTC,0.05,10,bearish,127,0.23622047244094488,0.23193034351976882,-1.1954011322423546,14,4.619047619047619,0.30927835051546393,False
ETH,0.05,10,bullish,71,0.323943661971831,0.39679237696833436,-0.8473637971410088,15,3.2,0.5133928571428571,False
SOL,0.05,30,bearish,70,0.21428571428571427,0.8773425595277622,0.15433885873024342,25,4.230769230769231,0.29545454545454547,False
ETH,0.1,10,bearish,116,0.2413793103448276,0.894881328598951,0.13213017544309266,14,4.0,0.3181818181818182,False
SOL,0.05,20,bearish,70,0.24285714285714285,0.9325522368379744,0.08463416490131048,25,3.7857142857142856,0.3454281567489115,False
